DATE,ピーク時供給力(万kW),予想最大電力(万kW),予想使用率(%),実績最大電力(万kW),実績最大電力発生時間帯
2018/1/1,1184,960,81,995,20
2018/1/2,1193,990,83,1016,19
2018/1/3,1244,1070,86,1061,19
2018/1/4,1405,1180,84,1189,18
2018/1/5,1445,1290,89,1277,9
2018/1/6,1399,1170,84,1194,18
2018/1/7,1317,1130,86,1165,18
2018/1/8,1343,1120,83,1146,18
2018/1/9,1563,1400,90,1367,18
2018/1/10,1592,1410,89,1449,18
2018/1/11,1635,1510,92,1531,18
2018/1/12,1715,1560,91,1540,18
2018/1/13,1500,1400,93,1393,9
2018/1/14,1360,1240,91,1280,18
2018/1/15,1475,1350,92,1382,9
2018/1/16,1448,1270,88,1281,8
2018/1/17,1421,1200,85,1205,18
2018/1/18,1333,1210,91,1234,18
2018/1/19,1364,1240,91,1235,8
2018/1/20,1231,1140,93,1149,8
2018/1/21,1217,1040,86,1125,18
2018/1/22,1514,1340,89,1340,18
2018/1/23,1625,1460,90,1425,18
2018/1/24,1710,1540,90,1529,18
2018/1/25,1693,1530,90,1504,18
2018/1/26,1689,1530,91,1490,18
2018/1/27,1489,1340,90,1338,8
2018/1/28,1499,1290,86,1272,18
2018/1/29,1635,1480,91,1473,18
2018/1/30,1635,1470,90,1441,18
2018/1/31,1623,1440,89,1434,8
2018/2/1,1561,1420,91,1387,9
2018/2/2,1473,1350,92,1364,8
2018/2/3,1452,1290,89,1303,18
2018/2/4,1543,1330,86,1394,18
2018/2/5,1698,1550,91,1565,18
2018/2/6,1729,1590,92,1575,18
2018/2/7,1722,1550,90,1504,8
2018/2/8,1648,1400,85,1475,8
2018/2/9,1499,1340,89,1401,8
2018/2/10,1464,1240,85,1220,18
2018/2/11,1438,1270,88,1284,18
2018/2/12,1547,1420,92,1395,18
2018/2/13,1620,1420,88,1430,9
2018/2/14,1442,1280,89,1358,7
2018/2/15,1471,1250,85,1252,18
2018/2/16,1430,1260,88,1302,9
2018/2/17,1284,1180,92,1178,19
2018/2/18,1352,1150,85,1112,19
2018/2/19,1482,1310,88,1303,18
2018/2/20,1434,1230,86,1219,8
2018/2/21,1383,1220,88,1212,9
2018/2/22,1343,1240,92,1231,18
2018/2/23,1319,1210,92,1248,7
2018/2/24,1345,1150,86,1127,8
2018/2/25,1272,1110,87,1099,18
2018/2/26,1306,1170,90,1143,19
2018/2/27,1314,1130,86,1176,7
2018/2/28,1378,1170,85,1167,18
2018/3/1,1270,1130,89,1149,19
2018/3/2,1286,1180,92,1159,7
2018/3/3,1231,1070,87,1115,18
2018/3/4,1148,940,82,938,4
2018/3/5,1249,1100,88,1135,18
2018/3/6,1263,1120,89,1108,19
2018/3/7,1261,1130,90,1124,18
2018/3/8,1295,1170,90,1159,18
2018/3/9,1338,1210,91,1228,18
2018/3/10,1223,1100,90,1080,7
2018/3/11,1161,1020,88,996,19
2018/3/12,1193,1040,87,1085,7
2018/3/13,1135,1040,92,1035,7
2018/3/14,1166,1010,87,986,19
2018/3/15,1203,1000,83,1029,18
2018/3/16,1208,1090,90,1136,18
2018/3/17,1101,1000,91,1008,6
2018/3/18,1121,950,85,949,19
2018/3/19,1217,1070,88,1074,18
2018/3/20,1267,1130,89,1158,18
2018/3/21,1262,1150,91,1132,18
2018/3/22,1317,1210,92,1196,19
2018/3/23,1253,1150,92,1145,6
2018/3/24,1098,990,90,1024,4
2018/3/25,1034,880,85,939,4
2018/3/26,1116,1010,91,991,19
2018/3/27,1088,1000,92,976,19
2018/3/28,1142,980,86,963,19
2018/3/29,1149,970,84,958,19
2018/3/30,1102,960,87,941,19
2018/3/31,1094,910,83,904,19
2018/4/1,1108,880,79,868,19
2018/4/2,1083,960,89,959,19
2018/4/3,1108,970,88,965,19
2018/4/4,1106,980,89,975,18
2018/4/5,1123,990,88,991,18
2018/4/6,1131,1040,92,1007,11
2018/4/7,1162,1020,88,1085,19
2018/4/8,1099,1010,92,967,19
2018/4/9,1077,980,91,989,19
2018/4/10,1100,960,87,973,19
2018/4/11,1097,990,90,971,19
2018/4/12,1100,980,89,967,19
2018/4/13,1111,990,89,960,19
2018/4/14,1104,930,84,949,18
2018/4/15,1029,900,87,906,19
2018/4/16,1129,990,88,980,19
2018/4/17,1100,1010,92,1029,18
2018/4/18,1097,980,89,969,19
2018/4/19,1069,980,92,973,19
2018/4/20,1067,980,92,962,11
2018/4/21,1008,910,90,920,19
2018/4/22,1114,870,78,902,19
2018/4/23,1164,990,85,1005,18
2018/4/24,1148,1010,88,1020,10
2018/4/25,1114,980,88,993,19
2018/4/26,1108,980,89,979,19
2018/4/27,1082,980,91,968,11
2018/4/28,1005,910,91,901,19
2018/4/29,982,870,89,865,19
2018/4/30,1066,870,82,900,19
2018/5/1,1129,940,83,947,18
2018/5/2,1042,940,90,946,11
2018/5/3,951,840,88,843,19
2018/5/4,1010,840,83,832,19
2018/5/5,1008,840,83,831,19
2018/5/6,1073,850,79,876,18
2018/5/7,1119,1000,89,1008,16
2018/5/8,1078,990,92,999,18
2018/5/9,1066,980,92,968,19
2018/5/10,1111,970,87,954,19
2018/5/11,1065,950,89,960,11
2018/5/12,1077,930,86,912,19
2018/5/13,1067,910,85,898,19
2018/5/14,1061,970,91,1000,16
2018/5/15,1124,1020,91,1045,16
2018/5/16,1165,1060,91,1098,16
2018/5/17,1166,1070,92,1136,16
2018/5/18,1206,1070,89,1145,11
2018/5/19,1010,920,91,925,19
2018/5/20,1127,910,81,883,19
2018/5/21,1123,970,86,975,17
2018/5/22,1121,990,88,1013,15
2018/5/23,1133,1000,88,1021,16
2018/5/24,1121,1010,90,1035,16
2018/5/25,1120,1020,91,1050,14
2018/5/26,1012,930,92,930,19
2018/5/27,1044,950,91,924,19
2018/5/28,1150,1000,87,1016,16
2018/5/29,1137,1020,90,1075,16
2018/5/30,1157,1050,91,1102,13
2018/5/31,1129,1030,91,1038,11
2018/6/1,1099,1010,92,1040,16
2018/6/2,1082,990,92,977,17
2018/6/3,1069,950,89,928,19
2018/6/4,1154,1040,90,1096,14
2018/6/5,1171,1030,88,1058,11
2018/6/6,1186,1030,87,1029,10
2018/6/7,1174,1060,90,1087,16
2018/6/8,1253,1090,87,1146,16
2018/6/9,1147,1040,91,1061,17
2018/6/10,1115,970,87,962,19
2018/6/11,1192,1050,88,1087,11
2018/6/12,1131,1010,89,1051,11
2018/6/13,1155,1030,89,1070,16
2018/6/14,1165,1060,91,1033,16
2018/6/15,1110,1020,92,1069,14
2018/6/16,1093,960,88,994,17
2018/6/17,1121,980,87,971,19
2018/6/18,1208,1110,92,1126,14
2018/6/19,1294,1150,89,1094,14
2018/6/20,1256,1070,85,1103,11
2018/6/21,1216,1050,86,1120,16
2018/6/22,1208,1110,92,1170,14
2018/6/23,1095,1000,91,954,9
2018/6/24,1126,960,85,976,18
2018/6/25,1226,1120,91,1213,14
2018/6/26,1306,1200,92,1227,16
2018/6/27,1318,1210,92,1273,13
2018/6/28,1317,1210,92,1270,13
2018/6/29,1285,1180,92,1192,11
2018/6/30,1157,1060,92,1076,19
2018/7/1,1255,1160,92,1147,18
2018/7/2,1370,1280,93,1250,11
2018/7/3,1295,1190,92,1175,11
2018/7/4,1320,1200,91,1313,16
2018/7/5,1353,1220,90,1207,11
2018/7/6,1311,1220,93,1203,11
2018/7/7,1079,990,92,991,11
2018/7/8,1078,980,91,1019,19
2018/7/9,1388,1180,85,1302,16
2018/7/10,1452,1320,91,1377,16
2018/7/11,1458,1340,92,1386,16
2018/7/12,1447,1330,92,1444,16
2018/7/13,1469,1350,92,1465,16
2018/7/14,1367,1230,90,1318,17
2018/7/15,1362,1250,92,1297,18
2018/7/16,1448,1320,91,1350,16
2018/7/17,1520,1420,93,1500,16
2018/7/18,1534,1410,92,1506,16
2018/7/19,1603,1450,90,1571,16
